type,description,featureCount,createdAt,createdBy,updatedAt,updatedBy,keyname,id,approvedAt,approvedBy,area,boundary,loadedAt,start,end,info,url
holding,Functionality 2,2,2020-02-26T14:05:49.911Z,David.Stone1@environment-agency.gov.uk,2020-02-26T14:05:49.911Z,David.Stone1@environment-agency.gov.uk,nnxcp6rzol.json,nnxcp6rzol,,,,,,2019-09-01,2020-03-30,"There are improvements to the flood defences in this area, we expect the flood liklihood in this area to change on 1 April 2020",http://localhost:3000/comment/view/nnxcp6rzol
llfa,Functionality 2,2,2020-02-26T14:44:49.585Z,David.Stone1@environment-agency.gov.uk,2020-02-26T14:44:49.585Z,David.Stone1@environment-agency.gov.uk,dh9o2rgiir5.json,dh9o2rgiir5,,,,,,2019-09-01,2020-03-30,Flood report,http://localhost:3000/comment/view/dh9o2rgiir5
llfa,Functionality 2,2,2020-02-26T14:44:49.585Z,David.Stone1@environment-agency.gov.uk,2020-02-26T14:44:49.585Z,David.Stone1@environment-agency.gov.uk,dh9o2rgiir5.json,dh9o2rgiir5,,,,,,2019-09-01,2020-03-30,Flood action plan,http://localhost:3000/comment/view/dh9o2rgiir5
llfa,Functionality 2,2,2020-02-26T14:53:25.280Z,David.Stone1@environment-agency.gov.uk,2020-02-26T14:53:25.280Z,David.Stone1@environment-agency.gov.uk,ptr7i0rs9ti.json,ptr7i0rs9ti,,,,,,2019-09-01,2020-03-30,Flood report,http://localhost:3000/comment/view/ptr7i0rs9ti
llfa,Functionality 2,2,2020-02-26T14:53:25.280Z,David.Stone1@environment-agency.gov.uk,2020-02-26T14:53:25.280Z,David.Stone1@environment-agency.gov.uk,ptr7i0rs9ti.json,ptr7i0rs9ti,,,,,,2019-09-01,2020-03-30,Flood report,http://localhost:3000/comment/view/ptr7i0rs9ti
holding,Functionality 2,2,2020-02-26T15:06:56.541Z,David.Stone1@environment-agency.gov.uk,2020-02-26T15:06:56.541Z,David.Stone1@environment-agency.gov.uk,leuyytmc3ml.json,leuyytmc3ml,,,Thames (THM),,,2019-09-01,2020-03-30,"There are improvements to the flood defences in this area, we expect the flood liklihood in this area to change on 1 April 2020",http://localhost:3000/comment/view/leuyytmc3ml
holding,Functionality 2,2,2020-02-26T15:06:56.541Z,David.Stone1@environment-agency.gov.uk,2020-02-26T15:06:56.541Z,David.Stone1@environment-agency.gov.uk,leuyytmc3ml.json,leuyytmc3ml,,,Thames (THM),,,2019-09-01,2020-03-30,"There are improvements to the flood defences in this area, we expect the flood liklihood in this area to change on 1 April 2020",http://localhost:3000/comment/view/leuyytmc3ml
holding,Functionality 2,2,2020-02-26T15:24:46.838Z,David.Stone1@environment-agency.gov.uk,2020-02-26T15:24:46.838Z,David.Stone1@environment-agency.gov.uk,whbd8y4660g.json,whbd8y4660g,,,Yorkshire (YOR),,,2019-09-01,2020-03-30,"There are improvements to the flood defences in this area, we expect the flood liklihood in this area to change on 1 April 2020",http://localhost:3000/comment/view/whbd8y4660g
holding,Functionality 2,2,2020-02-26T15:24:46.838Z,David.Stone1@environment-agency.gov.uk,2020-02-26T15:24:46.838Z,David.Stone1@environment-agency.gov.uk,whbd8y4660g.json,whbd8y4660g,,,Yorkshire (YOR),,,2019-09-01,2020-03-30,"There are improvements to the flood defences in this area, we expect the flood liklihood in this area to change on 1 April 2020",http://localhost:3000/comment/view/whbd8y4660g
llfa,x,2,2020-02-26T16:19:37.020Z,David.Stone1@environment-agency.gov.uk,2020-02-27T12:44:26.632Z,David.Stone1@environment-agency.gov.uk,lsnutxlhws.json,lsnutxlhws,2020-02-26T16:20:23.748Z,David.Stone1@environment-agency.gov.uk,Hounslow,Bradford,2020-02-27T14:00:01.976Z,2019-09-01,2020-03-30,Flood report,http://localhost:3000/comment/view/lsnutxlhws
llfa,x,2,2020-02-26T16:19:37.020Z,David.Stone1@environment-agency.gov.uk,2020-02-27T12:44:26.632Z,David.Stone1@environment-agency.gov.uk,lsnutxlhws.json,lsnutxlhws,2020-02-26T16:20:23.748Z,David.Stone1@environment-agency.gov.uk,Hounslow,Bradford,2020-02-27T14:00:01.976Z,2019-09-01,2020-03-30,Proposed schemes,http://localhost:3000/comment/view/lsnutxlhws
llfa,Functionality 2,2,2020-02-27T10:07:37.158Z,David.Stone1@environment-agency.gov.uk,2020-02-27T10:07:37.158Z,David.Stone1@environment-agency.gov.uk,h26ajgxkz0n.json,h26ajgxkz0n,,,Swindon,,,2019-09-01,2020-03-30,Flood report,http://localhost:3000/comment/view/h26ajgxkz0n
llfa,Functionality 2,2,2020-02-27T10:07:37.158Z,David.Stone1@environment-agency.gov.uk,2020-02-27T10:07:37.158Z,David.Stone1@environment-agency.gov.uk,h26ajgxkz0n.json,h26ajgxkz0n,,,Swindon,,,2019-09-01,2020-03-30,Proposed schemes,http://localhost:3000/comment/view/h26ajgxkz0n
holding,Functionality 2,2,2020-02-27T12:44:04.655Z,David.Stone1@environment-agency.gov.uk,2020-02-27T12:44:04.655Z,David.Stone1@environment-agency.gov.uk,konpdae5d.json,konpdae5d,,,,North East (NEA),,2019-09-01,2020-03-30,"There are improvements to the flood defences in this area, we expect the flood liklihood in this area to change on 1 April 2020",http://localhost:3000/comment/view/konpdae5d
holding,Functionality 2,2,2020-02-27T12:44:04.655Z,David.Stone1@environment-agency.gov.uk,2020-02-27T12:44:04.655Z,David.Stone1@environment-agency.gov.uk,konpdae5d.json,konpdae5d,,,,North East (NEA),,2019-09-01,2020-03-30,"There are improvements to the flood defences in this area, we expect the flood liklihood in this area to change on 1 April 2020",http://localhost:3000/comment/view/konpdae5d
